,ZIP,State,Lat,Lng,Size,Tract,State_code,County,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!Less than $10 000,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$10 000 to $14 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$15 000 to $24 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$25 000 to $34 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$35 000 to $49 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$50 000 to $74 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$75 000 to $99 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$100 000 to $149 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$150 000 to $199 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$200 000 or more
39,5048,VT,43.57,-72.42,4,965700,50,027,3.7,3.0,5.3,10.3,13.2,29.3,13.0,12.7,6.4,3.1
40,5444,VT,44.6,-72.9,1,002900,50,007,0.5,1.3,1.9,7.4,12.1,13.6,20.2,25.7,9.3,8.0
41,6351,CT,41.58,-71.96,2,709100,09,011,1.4,0.0,2.3,9.2,14.8,18.6,16.8,19.6,10.7,6.4
42,6410,CT,41.51,-72.91,1,343102,09,009,0.6,1.1,6.7,5.9,12.4,16.9,8.7,20.2,14.9,12.7
43,6441,CT,41.46,-72.57,1,590100,09,007,2.8,2.2,5.6,1.8,6.9,11.9,15.2,25.0,13.7,15.0
44,6457,CT,41.5,-72.7,2,580100,09,007,4.4,1.2,3.5,10.8,6.7,12.6,9.6,25.0,13.0,13.3
45,6488,CT,41.49,-73.23,4,348125,09,009,7.0,0.6,12.7,9.1,9.0,17.7,10.4,19.4,4.5,9.6
46,6611,CT,41.26,-73.21,4,090700,09,001,1.3,0.6,1.3,2.3,5.9,10.7,13.1,13.0,19.6,32.2
47,6810,CT,41.38,-73.47,2,210600,09,001,5.4,2.1,6.2,10.2,15.0,23.4,23.3,8.8,4.2,1.6
48,6854,CT,41.08,-73.42,1,044400,09,001,5.6,4.5,16.1,9.6,9.9,16.2,8.9,12.1,6.1,11.0
49,6878,CT,41.03,-73.58,1,011100,09,001,0.7,1.8,3.7,3.4,2.4,4.3,3.0,9.7,5.8,65.2
50,7040,NJ,40.73,-74.27,2,019500,34,013,1.6,0.0,0.7,2.9,4.1,7.2,8.2,12.0,13.3,50.0
51,7047,NJ,40.79,-74.02,1,015500,34,017,7.6,9.8,12.4,9.3,11.7,17.1,12.4,15.6,2.3,1.8
52,7059,NJ,40.63,-74.51,1,052204,34,035,4.1,1.3,1.8,2.4,4.6,7.3,7.7,13.7,17.5,39.7
53,7076,NJ,40.64,-74.37,1,038601,34,039,1.9,3.1,9.1,2.5,8.6,12.9,9.7,12.4,13.1,26.8
54,7079,NJ,40.75,-74.26,2,019300,34,013,6.0,1.8,7.7,10.1,6.5,7.7,14.3,19.4,8.9,17.7
55,7110,NJ,40.82,-74.16,2,013800,34,013,3.3,1.8,4.9,4.7,13.2,11.7,12.9,15.9,12.7,18.8
56,7666,NJ,40.89,-74.01,1,054500,34,003,0.8,0.8,3.7,0.5,3.0,14.9,6.5,19.8,21.2,28.8
57,7747,NJ,40.41,-74.23,1,803000,34,025,5.9,1.7,6.6,3.3,8.5,13.6,15.3,19.1,11.4,14.7
58,7750,NJ,40.33,-73.99,1,804100,34,025,5.1,0.7,6.5,3.4,9.4,10.0,9.6,20.1,12.4,23.0
59,7821,NJ,41.0,-74.7,3,374400,34,037,2.1,2.4,4.1,3.7,3.7,8.6,11.0,26.4,15.9,22.1
60,7920,NJ,40.68,-74.54,1,052603,34,035,4.7,5.1,1.8,4.0,6.4,18.7,15.3,17.1,8.0,19.0
61,8012,NJ,39.78,-75.05,1,608210,34,007,5.5,5.7,11.9,9.3,21.8,16.0,13.1,5.9,6.8,4.0
62,8081,NJ,39.74,-74.97,2,609203,34,007,0.9,4.4,3.9,3.9,6.7,19.1,17.6,24.5,11.7,7.2
63,8205,NJ,39.49,-74.47,1,010501,34,001,3.4,3.8,9.0,6.7,14.6,22.2,11.1,17.8,5.2,6.2
64,8505,NJ,40.1,-74.7,1,701401,34,005,0.6,2.0,2.2,2.0,8.6,12.6,13.4,26.8,15.0,16.9
65,8510,NJ,40.18,-74.42,1,812501,34,025,1.8,2.7,1.7,0.9,5.2,4.1,13.7,14.5,24.8,30.7
66,8540,NJ,40.4,-74.7,2,054201,34,035,4.2,3.2,2.7,2.6,5.9,7.2,6.8,12.7,14.6,40.3
67,8742,NJ,40.08,-74.06,2,711100,34,029,4.6,0.6,8.2,4.6,11.4,15.0,10.5,27.9,8.4,8.8
68,8807,NJ,40.59,-74.62,1,050703,34,035,4.0,6.7,7.1,3.1,3.8,5.1,5.0,20.5,14.5,30.2
69,8817,NJ,40.52,-74.4,1,001502,34,023,4.3,4.1,1.9,5.4,10.4,12.9,11.1,21.6,9.7,18.8
70,8820,NJ,40.58,-74.37,1,001413,34,023,4.6,1.1,5.6,4.4,5.6,8.3,9.1,17.8,17.9,25.6
71,8822,NJ,40.5,-74.9,2,011302,34,019,4.0,1.1,6.5,3.0,5.4,12.4,11.1,17.2,19.1,20.2
72,8846,NJ,40.57,-74.5,1,000200,34,023,1.4,5.5,2.4,8.1,19.3,25.8,13.9,11.1,6.8,5.6
73,8904,NJ,40.5,-74.43,3,001100,34,023,6.9,1.6,5.8,3.6,5.7,19.8,15.5,20.6,5.4,15.1
74,10013,NY,40.72,-74.01,1,003900,36,061,4.5,1.0,6.1,5.3,5.4,7.6,7.9,11.0,6.6,44.6
75,10306,NY,40.57,-74.13,1,013800,36,085,3.5,3.5,8.1,8.6,5.3,7.6,15.0,20.7,13.8,14.0
76,10314,NY,40.6,-74.15,1,027301,36,085,8.4,4.1,9.0,7.5,9.2,16.5,9.1,16.1,9.1,10.9
77,10467,NY,40.88,-73.87,1,043500,36,005,28.8,0.0,8.5,0.0,28.8,16.9,16.9,0.0,0.0,0.0
78,10522,NY,41.01,-73.87,2,010500,36,119,1.3,2.1,2.0,2.6,4.3,12.1,7.5,23.8,14.4,30.0
79,10543,NY,40.95,-73.73,1,007402,36,119,4.4,3.2,4.8,1.6,3.6,5.5,10.7,16.8,17.5,31.8
80,10583,NY,40.99,-73.79,1,009900,36,119,1.9,0.0,5.6,0.2,2.1,2.3,4.1,10.6,9.4,63.9
81,10950,NY,41.3,-74.2,1,014202,36,071,1.5,0.7,5.1,2.7,4.4,13.3,12.6,17.4,21.0,21.2
82,10952,NY,41.12,-74.09,1,011602,36,087,3.6,5.5,10.7,8.8,3.8,13.2,8.1,14.8,9.2,22.3
83,11021,NY,40.79,-73.73,1,300700,36,059,6.3,2.2,8.1,8.9,11.2,13.5,13.3,16.0,7.7,12.8
84,11109,NY,40.744,-73.956,2,000700,36,081,2.6,2.8,6.1,3.2,7.6,12.8,7.7,19.3,12.4,25.3
85,11201,NY,40.7,-73.99,1,001300,36,047,1.8,1.8,2.6,4.5,12.6,10.9,8.9,23.4,16.5,17.1
86,11215,NY,40.67,-73.98,2,015500,36,047,4.4,3.0,1.3,1.1,4.1,13.8,7.6,16.9,13.0,34.8
87,11217,NY,40.68,-73.98,1,012901,36,047,4.3,2.8,3.6,0.1,10.1,11.8,13.4,20.5,10.9,22.6
88,11231,NY,40.68,-74.0,2,006500,36,047,3.6,1.6,3.6,1.7,5.0,7.5,10.1,12.6,25.1,29.3
89,11233,NY,40.68,-73.92,4,037900,36,047,12.0,9.6,15.5,7.1,10.9,15.5,12.3,11.3,2.6,3.1
90,11237,NY,40.7,-73.92,1,043100,36,047,8.1,6.7,10.7,5.4,12.4,18.7,15.0,14.9,5.2,3.0
91,11238,NY,40.68,-73.96,2,030500,36,047,9.9,4.5,6.5,7.9,6.7,17.5,16.3,19.0,5.5,6.2
92,11520,NY,40.64,-73.58,1,414502,36,059,2.2,2.7,6.3,6.2,12.0,14.5,9.9,25.9,13.1,7.2
93,11971,NY,41.06,-72.43,1,170201,36,103,1.3,1.2,7.5,5.1,9.0,15.8,18.6,19.6,8.6,13.2
94,12159,NY,42.65,-73.88,1,014501,36,001,0.7,3.1,4.6,2.9,4.8,17.7,14.7,20.9,16.2,14.6
95,12304,NY,42.78,-73.9,1,021800,36,093,3.9,4.6,7.2,13.9,16.3,21.5,12.6,17.8,1.7,0.6
96,13066,NY,43.04,-76.0,1,015000,36,067,2.2,0.4,5.5,5.5,8.5,16.0,14.2,21.2,10.9,15.5
97,13210,NY,43.03,-76.13,1,005500,36,067,20.5,9.3,14.5,15.9,14.9,10.9,9.5,3.7,0.7,0.0
98,13224,NY,43.03,-76.1,1,014700,36,067,3.1,2.8,5.9,9.1,7.1,14.8,14.5,17.8,12.7,12.1
99,13357,NY,42.97,-75.08,1,010100,36,043,5.5,5.5,9.9,11.3,10.8,23.3,16.0,12.1,3.5,2.2
100,13827,NY,42.1,-76.3,1,020600,36,107,5.8,4.8,13.1,15.8,11.3,16.5,14.1,12.3,2.3,4.1
101,13905,NY,42.2,-76.0,1,010200,36,007,3.6,4.6,8.4,9.5,14.0,22.4,15.9,12.1,8.0,1.5
102,14062,NY,42.4,-79.2,1,036100,36,013,4.6,6.1,12.8,10.8,15.7,21.4,13.5,12.3,2.6,0.2
103,14072,NY,43.01,-78.96,1,007304,36,029,2.5,0.0,4.4,6.7,11.1,12.4,12.2,26.0,15.7,9.0
104,14202,NY,42.89,-78.89,1,007202,36,029,5.5,5.3,15.2,14.9,13.5,6.6,10.4,10.6,5.3,12.7
105,14226,NY,42.98,-78.79,1,009200,36,029,24.3,5.5,7.1,11.5,8.5,22.5,7.6,6.5,3.4,3.1
106,14428,NY,43.1,-77.9,1,015000,36,055,2.7,1.5,8.5,10.9,9.6,21.3,20.0,15.4,6.2,3.8
107,14450,NY,43.1,-77.43,1,011703,36,055,0.8,2.2,4.6,7.7,4.9,14.2,15.4,30.1,12.0,8.1
108,14580,NY,43.22,-77.45,1,011205,36,055,0.9,1.9,3.3,5.2,9.6,12.6,18.3,23.5,11.8,12.8
109,14620,NY,43.13,-77.61,1,003805,36,055,12.1,11.1,13.0,12.2,8.8,15.5,10.8,13.4,1.4,1.8
110,14625,NY,43.15,-77.51,1,011604,36,055,1.4,1.3,8.8,9.6,15.1,21.2,12.1,17.1,7.0,6.5
111,14850,NY,42.4,-76.5,5,001100,36,109,15.9,3.3,11.8,9.0,13.0,10.7,13.2,13.5,2.6,7.0
112,14882,NY,42.6,-76.6,1,002300,36,109,3.9,2.5,7.9,7.7,8.0,24.7,11.2,20.3,8.4,5.5
113,15010,PA,40.8,-80.4,4,605300,42,007,6.3,4.4,5.6,12.5,17.0,22.1,18.6,11.5,1.1,1.0
114,15061,PA,40.66,-80.34,1,605500,42,007,3.2,3.7,14.2,6.6,10.6,18.9,14.4,18.1,4.5,5.9
115,15090,PA,40.63,-80.08,1,410000,42,003,5.1,0.8,0.8,4.2,4.9,15.3,13.6,22.1,11.7,21.4
116,15102,PA,40.32,-80.04,1,475301,42,003,2.7,2.4,10.7,6.9,17.8,21.0,9.7,22.7,4.5,1.6
117,15108,PA,40.5,-80.19,1,451300,42,003,0.5,0.8,3.7,10.4,6.3,14.4,10.7,20.0,10.7,22.4
118,15137,PA,40.38,-79.81,2,564400,42,003,7.2,5.6,9.2,12.5,17.0,18.7,14.1,8.9,3.7,3.3
119,15202,PA,40.5,-80.08,1,461000,42,003,5.9,4.9,18.3,16.3,12.9,18.8,12.6,6.7,1.1,2.5
120,15217,PA,40.43,-79.92,3,140800,42,003,11.2,4.5,8.5,6.6,6.0,12.7,13.1,17.5,7.5,12.6
121,15220,PA,40.44,-80.04,1,562600,42,003,12.9,9.7,15.4,12.8,15.1,11.0,9.7,8.5,4.9,0.0
122,15222,PA,40.45,-79.99,1,020300,42,003,2.5,2.8,3.3,2.7,8.1,22.6,15.9,19.7,12.9,9.5
123,15228,PA,40.37,-80.05,1,473500,42,003,0.0,0.7,4.7,6.2,3.0,14.1,12.5,21.0,13.7,24.2
124,15234,PA,40.37,-80.02,1,476100,42,003,1.2,5.8,9.5,15.5,15.2,25.8,12.9,8.4,5.1,0.6
125,15237,PA,40.55,-80.05,1,429300,42,003,2.4,1.7,11.8,4.9,13.8,18.3,17.3,18.9,6.1,4.8
126,15701,PA,40.6,-79.1,1,960800,42,063,7.3,1.0,7.2,8.9,12.4,20.5,9.8,18.5,7.1,7.2
127,15825,PA,41.2,-79.0,4,950300,42,065,4.6,5.8,11.4,10.8,15.9,23.9,13.6,10.9,2.3,0.8
128,16002,PA,40.8,-79.9,2,911600,42,019,1.3,4.5,6.3,7.6,11.9,20.4,13.9,18.9,7.1,8.1
129,16229,PA,40.72,-79.65,2,951200,42,005,3.7,4.7,6.8,15.8,10.8,15.5,14.9,20.4,4.8,2.6
130,16602,PA,40.51,-78.37,1,010600,42,013,4.8,4.3,12.8,9.0,15.2,14.2,15.2,17.2,3.8,3.6
131,16827,PA,40.77,-77.79,1,011800,42,027,4.1,1.5,4.3,4.0,7.2,12.9,14.7,27.5,10.5,13.3
132,16870,PA,40.8,-78.1,1,010500,42,027,5.2,4.7,8.1,9.4,13.6,23.2,15.2,14.8,3.7,1.9
133,17036,PA,40.29,-76.7,1,024503,42,043,3.5,0.9,6.7,7.6,8.3,15.2,14.9,25.5,8.4,9.0
134,17112,PA,40.4,-76.8,1,024600,42,043,3.5,0.9,4.6,6.4,11.8,20.0,19.5,20.9,6.9,5.4
135,17325,PA,39.8,-77.2,1,031201,42,001,0.5,1.7,8.1,8.5,11.2,20.5,14.0,20.3,6.4,8.7
136,17728,PA,41.4,-77.1,1,010400,42,081,4.6,5.5,9.7,9.4,11.7,19.7,18.6,16.3,2.8,1.6
137,17754,PA,41.29,-76.88,1,010500,42,081,2.0,3.8,6.9,11.4,14.3,21.7,16.2,16.4,3.6,3.7
138,17870,PA,40.82,-76.88,1,070200,42,109,6.1,5.0,8.0,9.1,10.8,22.0,16.8,13.5,3.7,5.0
139,18036,PA,40.5,-75.4,2,006905,42,077,0.0,0.0,3.5,3.6,4.6,14.2,14.5,29.3,11.3,19.0
140,18042,PA,40.65,-75.22,1,018100,42,095,4.1,1.7,3.2,3.6,10.6,19.5,18.1,17.8,9.8,11.6
141,18103,PA,40.57,-75.48,1,001402,42,077,1.0,2.3,15.0,15.9,20.9,19.2,12.5,8.8,2.9,1.6
142,18902,PA,40.36,-75.11,1,104203,42,017,3.9,3.9,4.7,7.9,4.6,9.1,8.8,18.6,11.4,27.2
143,18914,PA,40.29,-75.21,1,101900,42,017,1.0,1.5,3.1,2.6,8.3,17.2,15.3,18.9,15.4,16.8
144,18947,PA,40.43,-75.12,1,104201,42,017,2.6,3.8,2.7,2.2,7.1,13.1,14.0,25.3,8.9,20.4
145,18974,PA,40.21,-75.07,1,106200,42,017,1.8,4.7,8.2,11.0,16.7,11.2,14.5,19.3,7.5,5.0
146,19010,PA,40.02,-75.33,1,409601,42,045,5.2,3.9,6.5,4.8,3.0,10.2,9.4,16.7,12.7,27.6
147,19067,PA,40.2,-74.81,2,105801,42,017,1.4,5.8,5.5,6.3,8.3,21.1,7.5,27.5,9.6,6.9
148,19075,PA,40.12,-75.19,1,210100,42,091,2.8,0.7,16.9,3.3,7.4,14.0,14.7,23.9,7.1,9.2
149,19116,PA,40.12,-75.01,2,035900,42,101,6.2,10.9,8.3,6.1,9.9,20.4,14.6,13.3,8.9,1.3
150,19143,PA,39.94,-75.22,1,007400,42,101,25.5,12.6,13.7,7.8,17.2,9.4,6.5,3.7,1.0,2.6
151,19446,PA,40.23,-75.29,1,201004,42,091,5.1,0.7,2.2,9.7,11.1,18.0,15.5,15.8,11.4,10.4
152,19802,DE,39.74,-75.52,1,980100,10,003,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
153,19803,DE,39.8,-75.53,1,011400,10,003,3.4,3.3,13.0,3.2,4.4,10.0,9.5,22.9,13.7,16.7
154,19805,DE,39.75,-75.59,1,012200,10,003,7.8,4.2,15.4,10.7,14.0,16.9,15.1,14.8,1.1,0.0
155,19958,DE,38.7,-75.2,2,051005,10,005,3.3,2.2,7.6,6.1,18.7,21.8,17.1,14.3,4.7,4.2
156,20001,DC,38.91,-77.02,1,004801,11,001,7.0,4.1,5.1,1.6,6.3,7.1,7.8,29.3,12.8,18.8
157,20002,DC,38.91,-76.98,3,008804,11,001,6.5,13.2,12.0,9.5,14.0,16.8,15.2,7.7,2.1,
158,20003,FL,38.88,-76.99,4,007100,11,001,13.3,10.3,10.5,2.9,3.5,9.6,12.1,17.7,6.7,13.3
159,20011,DC,38.95,-77.02,1,002201,11,001,1.3,12.4,12.8,3.7,5.8,21.5,5.3,11.5,13.0,12.5
160,20016,DC,38.94,-77.09,1,000901,11,001,0.8,1.3,1.2,0.9,5.2,5.6,5.9,12.9,7.7,58.4
161,20170,VA,38.98,-77.38,2,480801,51,059,0.0,0.7,1.0,3.5,5.9,15.4,15.7,30.5,14.3,13.0
162,20186,VA,38.7,-77.8,1,930302,51,061,2.0,4.2,5.1,6.9,13.2,17.4,9.0,17.0,14.5,10.5
163,20187,VA,38.7,-77.7,2,930403,51,061,2.5,0.8,7.2,4.6,7.3,11.0,12.2,21.6,17.6,15.2
164,20607,MD,38.66,-77.01,1,801310,24,033,3.5,0.6,8.5,2.4,2.5,7.4,9.2,34.0,13.6,18.2
165,20815,MD,38.98,-77.08,2,705400,24,031,1.3,0.0,0.8,1.1,0.6,3.9,2.7,12.9,12.3,64.5
166,20817,MD,39.0,-77.16,6,706013,24,031,0.0,1.7,0.7,1.1,1.9,6.2,5.6,13.7,15.2,53.7
167,20850,MD,39.09,-77.19,2,701006,24,031,1.6,0.0,0.0,3.2,5.8,11.0,8.5,20.1,16.2,33.6
168,20854,MD,39.0,-77.2,2,706009,24,031,1.0,1.4,1.0,1.7,1.0,3.1,3.1,14.8,9.5,63.4
169,20855,MD,39.14,-77.13,1,701307,24,031,2.0,1.7,1.8,2.0,3.4,7.7,8.6,20.7,17.3,34.9
170,20902,MD,39.04,-77.04,1,703209,24,031,6.5,2.9,3.2,6.4,6.3,11.8,17.1,23.9,12.7,9.0
171,20904,MD,39.07,-76.98,2,701415,24,031,3.2,1.5,,4.3,6.8,15.6,13.2,28.9,13.3,10.7
172,21014,MD,39.54,-76.35,4,303803,24,025,5.9,2.9,2.4,3.7,16.8,18.3,15.0,19.8,8.5,6.6
173,21015,MD,39.6,-76.3,1,303101,24,025,3.6,1.3,2.4,1.4,8.8,15.4,18.3,24.1,15.7,9.1
174,21042,MD,39.28,-76.9,1,603004,24,027,0.7,0.8,0.8,7.0,1.4,5.2,7.0,15.6,14.0,47.5
175,21045,MD,39.21,-76.83,3,606604,24,027,1.4,0.6,4.0,5.7,4.5,18.0,16.4,26.5,13.8,9.1
176,21046,MD,39.17,-76.84,1,606707,24,027,2.2,3.3,7.9,6.5,4.0,17.9,12.8,26.3,17.0,2.2
177,21048,MD,39.49,-76.91,1,504201,24,013,0.0,5.1,7.0,3.0,5.1,8.1,16.5,30.9,13.5,10.7
178,21093,MD,39.44,-76.64,1,408703,24,005,4.2,2.1,2.1,7.1,7.7,16.0,12.0,23.7,12.5,12.4
179,21114,MD,39.01,-76.68,1,702206,24,003,0.0,0.6,1.3,1.1,7.7,14.8,17.0,28.9,16.2,12.4
