,ZIP,State,Lat,Lng,Size,Tract,State_code,County,Percent Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans
103,13905,NY,42.2,-76.0,1,010200,36,007,7.6
104,14062,NY,42.4,-79.2,1,036100,36,013,8.9
105,14072,NY,43.01,-78.96,1,007304,36,029,11.5
106,14202,NY,42.89,-78.89,1,007202,36,029,5.5
107,14226,NY,42.98,-78.79,1,009200,36,029,5.2
108,14428,NY,43.1,-77.9,1,015000,36,055,10.1
109,14450,NY,43.1,-77.43,1,011703,36,055,5.0
110,14580,NY,43.22,-77.45,1,011205,36,055,6.5
111,14620,NY,43.13,-77.61,1,003805,36,055,2.6
112,14625,NY,43.15,-77.51,1,011604,36,055,10.6
113,14850,NY,42.4,-76.5,5,001100,36,109,4.7
114,14882,NY,42.6,-76.6,1,002300,36,109,7.7
115,15010,PA,40.8,-80.4,4,605300,42,007,10.2
116,15061,PA,40.66,-80.34,1,605500,42,007,6.7
117,15090,PA,40.63,-80.08,1,410000,42,003,8.0
118,15102,PA,40.32,-80.04,1,475301,42,003,10.2
119,15108,PA,40.5,-80.19,1,451300,42,003,10.7
120,15137,PA,40.38,-79.81,2,564400,42,003,13.0
121,15202,PA,40.5,-80.08,1,461000,42,003,9.7
122,15217,PA,40.43,-79.92,3,140800,42,003,4.6
123,15220,PA,40.44,-80.04,1,562600,42,003,9.2
124,15222,PA,40.45,-79.99,1,020300,42,003,2.8
125,15228,PA,40.37,-80.05,1,473500,42,003,4.2
126,15234,PA,40.37,-80.02,1,476100,42,003,7.4
127,15237,PA,40.55,-80.05,1,429300,42,003,11.3
128,15701,PA,40.6,-79.1,1,960800,42,063,8.2
129,15825,PA,41.2,-79.0,4,950300,42,065,9.9
130,16002,PA,40.8,-79.9,2,911600,42,019,9.1
131,16229,PA,40.72,-79.65,2,951200,42,005,10.8
132,16602,PA,40.51,-78.37,1,010600,42,013,11.4
133,16827,PA,40.77,-77.79,1,011800,42,027,9.9
134,16870,PA,40.8,-78.1,1,010500,42,027,10.1
135,17036,PA,40.29,-76.7,1,024503,42,043,6.1
136,17112,PA,40.4,-76.8,1,024600,42,043,7.7
137,17325,PA,39.8,-77.2,1,031201,42,001,
138,17543,PA,40.2,-76.3,1,010201,42,071,6.7
139,17728,PA,41.4,-77.1,1,010400,42,081,9.5
140,17754,PA,41.29,-76.88,1,010500,42,081,10.8
141,17870,PA,40.82,-76.88,1,070200,42,109,7.1
142,18036,PA,40.5,-75.4,2,006905,42,077,6.9
143,18042,PA,40.65,-75.22,1,018100,42,095,8.5
144,18103,PA,40.57,-75.48,1,001402,42,077,7.2
145,18902,PA,40.36,-75.11,1,104203,42,017,
146,18914,PA,40.29,-75.21,1,101900,42,017,6.6
147,18947,PA,40.43,-75.12,1,104201,42,017,9.2
148,18974,PA,40.21,-75.07,1,106200,42,017,14.7
149,19010,PA,40.02,-75.33,1,409601,42,045,4.9
150,19067,PA,40.2,-74.81,2,105801,42,017,6.2
151,19075,PA,40.12,-75.19,1,210100,42,091,7.0
152,19116,PA,40.12,-75.01,2,035900,42,101,6.2
153,19143,PA,39.94,-75.22,1,007400,42,101,5.6
154,19446,PA,40.23,-75.29,1,201004,42,091,9.5
155,19802,DE,39.74,-75.52,1,980100,10,003,-666666666.0
156,19803,DE,39.8,-75.53,1,011400,10,003,8.7
157,19805,DE,39.75,-75.59,1,012200,10,003,8.4
158,19958,DE,38.7,-75.2,2,051005,10,005,16.5
159,20001,DC,38.91,-77.02,1,004801,11,001,3.8
160,20002,DC,38.91,-76.98,3,008804,11,001,5.9
161,20003,DC,38.88,-76.99,3,007100,11,001,2.5
162,20003,FL,38.88,-76.99,4,007100,11,001,2.5
163,20011,DC,38.95,-77.02,1,002201,11,001,6.0
164,20016,DC,38.94,-77.09,1,000901,11,001,4.1
165,20170,VA,38.98,-77.38,2,480801,51,059,5.4
166,20186,VA,38.7,-77.8,1,930302,51,061,9.3
167,20187,VA,38.7,-77.7,2,930403,51,061,14.0
168,20607,MD,38.66,-77.01,1,801310,24,033,18.3
169,20815,MD,38.98,-77.08,2,705400,24,031,6.6
170,20817,MD,39.0,-77.16,6,706013,24,031,7.1
171,20850,MD,39.09,-77.19,2,701006,24,031,5.2
172,20854,MD,39.0,-77.2,2,706009,24,031,3.8
173,20855,MD,39.14,-77.13,1,701307,24,031,5.6
174,20902,MD,39.04,-77.04,1,703209,24,031,2.8
175,20904,MD,39.07,-76.98,2,701415,24,031,6.3
176,21014,MD,39.54,-76.35,4,303803,24,025,11.1
177,21015,MD,39.6,-76.3,1,303101,24,025,7.3
178,21042,MD,39.28,-76.9,1,603004,24,027,6.7
179,21045,MD,39.21,-76.83,3,606604,24,027,8.7
180,21046,MD,39.17,-76.84,1,606707,24,027,7.9
181,21048,MD,39.49,-76.91,1,504201,24,013,9.9
182,21093,MD,39.44,-76.64,1,408703,24,005,5.7
183,21114,MD,39.01,-76.68,1,702206,24,003,10.8
184,21120,MD,39.6,-76.7,1,407001,24,005,6.7
185,21218,MD,39.33,-76.6,1,090300,24,510,4.2
186,21229,MD,39.28,-76.69,1,250102,24,510,8.1
187,21230,MD,39.26,-76.62,1,230300,24,510,2.8
188,21409,MD,39.02,-76.45,1,730902,24,003,13.1
189,21601,MD,38.8,-76.0,2,960100,24,041,9.2
190,21702,MD,39.5,-77.5,1,770700,24,021,9.3
