,ZIP,State,Lat,Lng,Size,Tract,State_code,County,health_insurance,private,public
116,18902,PA,40.36,-75.11,1,104203,42,017,94.2,89.8,17.8
117,18947,PA,40.43,-75.12,1,104201,42,017,94.8,83.8,19.5
118,18974,PA,40.21,-75.07,1,106200,42,017,95.7,83.6,46.5
119,19010,PA,40.02,-75.33,1,409601,42,045,98.5,89.5,25.5
120,19067,PA,40.2,-74.81,2,105801,42,017,91.5,78.1,21.5
121,19075,PA,40.12,-75.19,1,210100,42,091,93.9,83.4,22.9
122,19143,PA,39.94,-75.22,1,007400,42,101,88.6,36.0,65.8
123,19446,PA,40.23,-75.29,1,201004,42,091,97.3,83.9,32.8
124,19803,DE,39.8,-75.53,1,011400,10,003,96.9,83.4,30.6
125,19958,DE,38.7,-75.2,2,051005,10,005,97.1,74.5,53.0
126,20002,DC,38.91,-76.98,3,008804,11,001,90.3,45.8,54.8
127,20003,DC,38.88,-76.99,3,007100,11,001,99.4,50.4,54.3
128,20003,FL,38.88,-76.99,4,007100,11,001,99.4,50.4,54.3
129,20011,DC,38.95,-77.02,1,002201,11,001,99.1,81.6,31.4
130,20016,DC,38.94,-77.09,1,000901,11,001,98.7,91.7,18.7
131,20170,VA,38.98,-77.38,2,480801,51,059,85.1,78.3,13.9
132,20186,VA,38.7,-77.8,1,930302,51,061,90.0,79.4,23.5
133,20187,VA,38.7,-77.7,2,930403,51,061,91.2,83.3,15.3
134,20607,MD,38.66,-77.01,1,801310,24,033,95.9,79.8,29.3
135,20815,MD,38.98,-77.08,2,705400,24,031,99.8,97.5,16.8
136,20817,MD,39.0,-77.16,6,706013,24,031,97.6,90.0,21.1
137,20850,MD,39.09,-77.19,2,701006,24,031,98.0,90.6,24.6
138,20854,MD,39.0,-77.2,2,706009,24,031,97.1,88.4,22.7
139,20855,MD,39.14,-77.13,1,701307,24,031,97.0,90.1,14.8
140,20902,MD,39.04,-77.04,1,703209,24,031,85.9,67.2,29.3
141,20904,MD,39.07,-76.98,2,701415,24,031,90.2,78.6,22.5
142,21014,MD,39.54,-76.35,4,303803,24,025,97.7,90.6,25.5
143,21015,MD,39.6,-76.3,1,303101,24,025,97.3,86.4,20.2
144,21045,MD,39.21,-76.83,3,606604,24,027,97.2,77.7,31.8
145,21046,MD,39.17,-76.84,1,606707,24,027,96.5,69.3,34.4
146,21048,MD,39.49,-76.91,1,504201,24,013,96.8,88.5,25.7
147,21093,MD,39.44,-76.64,1,408703,24,005,97.5,88.9,23.1
148,21114,MD,39.01,-76.68,1,702206,24,003,96.8,91.9,15.7
149,21120,MD,39.6,-76.7,1,407001,24,005,97.4,87.3,26.1
150,21229,MD,39.28,-76.69,1,250102,24,510,97.0,54.3,51.7
151,21230,MD,39.26,-76.62,1,230300,24,510,97.4,89.7,13.5
152,21409,MD,39.02,-76.45,1,730902,24,003,97.9,92.2,22.5
153,21601,MD,38.8,-76.0,2,960100,24,041,97.1,76.1,36.5
154,21702,MD,39.5,-77.5,1,770700,24,021,96.1,85.6,26.1
155,21704,MD,39.34,-77.38,1,752204,24,021,96.9,87.1,12.8
156,21740,MD,39.6,-77.7,1,011100,24,043,94.8,68.6,41.4
157,21773,MD,39.54,-77.56,1,752802,24,021,95.7,83.3,25.5
158,21921,MD,39.6,-75.9,2,030903,24,015,94.0,57.4,46.9
159,22043,VA,38.9,-77.19,2,471000,51,059,98.6,96.4,14.2
160,22101,VA,38.94,-77.16,6,470400,51,059,95.7,91.6,19.0
161,22124,VA,38.89,-77.33,4,481600,51,059,96.0,92.3,19.2
162,22151,VA,38.8,-77.21,6,430500,51,059,95.0,84.5,20.2
163,22153,VA,38.74,-77.23,10,432600,51,059,92.9,91.1,16.2
164,22180,VA,38.9,-77.25,1,460800,51,059,92.8,89.0,13.5
165,22201,VA,38.89,-77.1,4,101500,51,013,91.9,89.1,10.4
166,22304,VA,38.81,-77.13,1,200405,51,510,77.6,70.6,12.8
167,22305,VA,38.84,-77.06,1,201203,51,510,62.3,41.6,26.2
168,22308,VA,38.75,-77.06,1,415500,51,059,96.1,81.0,27.4
169,22315,VA,38.75,-77.15,1,421103,51,059,98.0,94.9,14.8
170,22485,VA,38.3,-77.2,1,040300,51,099,91.5,82.4,23.6
171,22553,VA,38.3,-77.6,1,020106,51,177,95.8,89.3,24.3
172,22655,VA,39.06,-78.23,1,050801,51,069,81.8,68.7,27.4
173,22901,AZ,38.1,-78.6,1,010100,51,003,89.3,79.7,29.0
174,22923,VA,38.2,-78.3,1,110300,51,137,91.2,70.9,34.1
175,22980,VA,38.1,-78.9,1,070600,51,015,91.1,81.6,27.9
176,23059,VA,37.7,-77.5,1,200406,51,087,94.5,89.0,17.6
177,23060,VA,37.66,-77.53,1,200413,51,087,92.7,82.7,29.8
178,23112,VA,37.44,-77.68,1,100912,51,041,92.6,83.3,23.2
179,23185,VA,37.2,-76.7,1,860100,51,181,85.8,62.4,37.1
180,23225,VA,37.52,-77.5,5,071100,51,760,81.3,67.8,22.3
181,23235,VA,37.54,-77.57,1,070100,51,760,91.9,82.0,33.1
182,23322,VA,36.6,-76.3,2,021200,51,550,94.5,86.3,21.7
183,23451,VA,36.86,-76.03,1,044402,51,810,86.1,79.6,23.7
184,23505,VA,36.93,-76.29,1,000902,51,710,93.6,92.8,0.8
185,23507,VA,36.87,-76.31,1,003800,51,710,93.4,91.1,14.0
186,24012,VA,37.32,-79.9,1,031202,51,161,97.7,88.8,22.5
187,24401,VA,38.1,-79.1,1,070900,51,015,93.3,71.9,45.9
188,24459,VA,38.0,-79.3,1,071000,51,015,86.0,69.1,31.6
189,24502,VA,37.36,-79.21,2,001600,51,680,91.3,76.3,28.8
190,24874,WV,37.6,-81.5,1,003100,54,109,88.5,47.9,59.7
191,26062,WV,40.42,-80.57,1,020700,54,029,92.2,77.0,33.7
192,26105,WV,39.33,-81.51,1,010102,54,107,94.5,70.2,38.5
193,26508,WV,39.6,-79.9,1,011803,54,061,93.9,74.0,30.1
194,27012,NC,36.01,-80.37,1,004015,37,067,95.9,84.1,21.2
195,27104,NC,36.1,-80.32,1,003906,37,067,95.1,84.8,29.7
196,27455,NC,36.18,-79.82,1,015600,37,081,93.2,82.7,18.8
197,27502,NC,35.7,-78.9,1,053413,37,183,96.7,89.8,11.6
198,27513,NC,35.8,-78.8,4,053522,37,183,95.6,89.2,13.2
199,27516,NC,35.9,-79.2,2,011203,37,135,92.6,80.7,26.0
200,27519,NC,35.81,-78.89,1,053411,37,183,99.0,94.4,9.0
201,27539,NC,35.7,-78.8,1,053421,37,183,94.6,87.0,15.6
202,27703,NC,35.94,-78.8,1,001808,37,063,93.1,82.5,20.3
203,27858,NC,35.5,-77.3,1,001100,37,147,83.5,62.8,32.2
204,28027,NC,35.4,-80.7,1,041303,37,025,96.3,91.1,9.1
205,28031,NC,35.47,-80.89,3,006208,37,119,94.4,89.8,12.5
206,28036,NC,35.48,-80.8,3,006404,37,119,96.3,90.0,13.2
207,28056,NC,35.2,-81.1,1,033307,37,071,90.6,66.7,33.0
208,28078,NC,35.4,-80.9,1,006214,37,119,91.0,86.2,12.1
209,28104,NC,35.1,-80.7,1,005835,37,119,93.4,85.4,18.0
210,28117,NC,35.57,-80.89,2,061405,37,097,94.5,85.3,24.5
211,28203,NC,35.21,-80.86,4,003400,37,119,97.6,94.0,7.7
212,28226,NC,35.11,-80.83,1,003008,37,119,89.1,75.3,28.4
213,28278,NC,35.1,-81.0,2,005910,37,119,89.6,78.8,15.3
214,28692,NC,36.3,-81.8,1,920200,37,189,88.9,71.7,29.9
215,28704,NC,35.46,-82.57,1,002301,37,021,94.7,76.3,30.1
216,28705,NC,36.0,-82.2,1,950200,37,121,84.0,54.2,45.4
217,28714,NC,35.9,-82.3,1,960300,37,199,80.8,52.2,49.7
218,28779,NC,35.3,-83.2,1,950600,37,099,93.5,80.6,22.6
219,28787,NC,35.7,-82.5,1,002703,37,021,93.8,71.1,38.8
220,28805,NC,35.62,-82.49,2,003001,37,021,88.3,67.4,36.9
221,29401,SC,32.78,-79.93,1,005100,45,019,87.8,72.8,33.5
222,29464,SC,32.82,-79.86,1,004606,45,019,93.9,85.1,23.9
223,29576,SC,33.56,-79.08,1,920502,45,043,83.0,63.3,43.6
224,29607,SC,34.84,-82.38,1,004300,45,045,79.6,44.0,45.0
225,29617,SC,34.91,-82.47,2,003701,45,045,93.4,74.1,33.6
226,29651,SC,34.9,-82.2,2,023202,45,083,89.2,67.5,36.7
227,29681,SC,34.76,-82.22,2,003009,45,045,94.3,85.3,20.3
228,29902,SC,32.38,-80.7,2,000800,45,013,89.3,65.6,37.1
229,30067,GA,33.93,-84.46,2,030320,13,067,96.9,89.1,18.3
230,30124,GA,34.14,-85.35,1,002000,13,115,89.1,63.1,43.5
231,30145,GA,34.2,-85.0,1,961000,13,015,86.5,67.6,29.8
232,30284,GA,33.41,-84.3,1,070501,13,151,79.6,55.1,31.3
233,30309,GA,33.8,-84.39,1,000500,13,121,90.5,83.3,11.2
234,30319,GA,33.86,-84.35,2,010002,13,121,98.5,92.9,13.7
235,30328,GA,33.93,-84.4,1,010205,13,121,96.5,86.8,19.1
236,30736,GA,34.9,-85.1,1,030100,13,047,86.5,65.2,31.8
237,31220,GA,32.88,-83.81,1,013605,13,021,94.2,77.7,27.4
238,31324,GA,31.9,-81.3,1,920306,13,029,93.6,84.4,18.2
239,32082,FL,30.1,-81.4,1,020602,12,109,91.8,79.1,29.3
240,32259,FL,30.1,-81.6,1,020805,12,109,95.7,88.7,13.9
241,32401,FL,30.16,-85.67,1,002200,12,005,80.3,44.8,42.9
242,32536,FL,30.7,-86.7,1,020100,12,091,83.0,64.6,30.7
243,32708,FL,28.68,-81.27,1,021403,12,117,96.7,86.3,21.7
244,32746,FL,28.76,-81.36,1,020805,12,117,93.1,80.9,25.4
245,32836,FL,28.41,-81.52,1,017108,12,095,85.6,76.9,15.5
246,32952,FL,28.3,-80.7,1,062800,12,009,90.4,70.3,43.2
247,33186,FL,25.66,-80.41,1,018900,12,086,92.3,79.0,22.6
248,33311,FL,26.13,-80.16,1,041500,12,011,82.4,20.8,66.1
249,33328,FL,26.07,-80.27,1,070209,12,011,95.7,85.2,19.4
250,33527,FL,27.97,-82.22,1,012402,12,057,69.4,39.1,38.3
251,33538,FL,28.8,-82.2,1,451000,12,017,94.0,68.0,54.1
252,33556,FL,28.2,-82.6,2,031701,12,101,94.1,76.4,36.4
253,33702,FL,27.85,-82.63,4,024411,12,103,90.1,75.3,21.7
254,33921,FL,26.83,-82.28,1,030402,12,015,93.1,70.2,63.3
255,33922,FL,26.66,-82.14,1,070101,12,071,89.8,53.8,56.8
256,34102,FL,26.13,-81.8,1,000101,12,021,96.0,66.1,65.9
257,34110,FL,26.3,-81.79,1,010102,12,021,94.9,80.8,42.2
258,34134,FL,26.36,-81.85,1,060300,12,071,99.2,80.2,61.8
259,34223,FL,26.98,-82.37,1,002603,12,115,94.8,75.1,56.1
260,34470,FL,29.2,-82.09,2,002002,12,083,76.9,44.7,43.3
261,34480,FL,29.1,-82.1,1,002402,12,083,88.7,68.4,29.3
262,34639,FL,28.3,-82.4,1,032001,12,101,93.2,83.6,19.9
263,34655,FL,28.23,-82.63,1,031707,12,101,94.3,69.0,49.7
264,34711,FL,28.5,-81.8,1,031311,12,069,89.1,64.1,36.4
265,34758,FL,28.2,-81.5,1,041100,12,097,74.1,39.4,41.2
266,34786,FL,28.48,-81.56,1,017105,12,095,89.9,84.1,9.4
267,34787,FL,28.5,-81.6,2,017105,12,095,89.9,84.1,9.4
268,34949,FL,27.5,-80.31,2,381204,12,111,92.8,68.7,64.7
269,34996,FL,27.2,-80.19,1,000502,12,085,98.2,76.5,37.2
270,34997,FL,27.1,-80.3,1,001700,12,085,92.1,76.0,33.0
271,36527,AL,30.7,-87.9,1,010701,01,003,94.9,84.1,25.5
272,36559,AL,30.572,-87.897,2,010800,01,003,93.8,78.4,27.5
273,37069,TN,35.99,-86.91,2,050406,47,187,98.1,91.0,15.5
274,37122,TN,36.2,-86.5,4,030309,47,189,92.6,75.1,28.0
275,37203,TN,36.15,-86.79,1,016300,47,037,91.7,52.6,48.5
276,37205,TN,36.11,-86.87,1,018203,47,037,97.3,89.3,21.8
277,37212,TN,36.13,-86.8,3,016900,47,037,94.5,88.9,11.8
278,37221,TN,36.06,-86.96,1,018407,47,037,95.6,87.9,17.6
279,37388,TN,35.3,-86.2,1,960201,47,051,92.3,68.5,41.0
280,37604,TN,36.3,-82.38,1,060502,47,179,89.4,68.1,35.8
281,37694,TN,36.38,-82.28,1,071100,47,019,82.6,55.9,42.2
282,37774,TN,35.7,-84.4,1,060700,47,105,89.2,56.4,46.5
283,37830,TN,36.0,-84.3,1,020100,47,001,88.9,54.2,44.3
284,38011,TN,35.5,-89.7,1,040500,47,167,91.4,73.2,28.2
285,38138,TN,35.08,-89.79,1,021341,47,157,98.1,90.9,26.5
286,38231,TN,36.22,-88.42,1,969800,47,079,87.2,61.1,38.2
287,38871,MS,34.33,-89.19,1,950200,28,115,83.0,59.9,34.8
288,39090,MS,33.1,-89.5,1,060100,28,007,86.0,50.7,48.9
289,40202,KY,38.25,-85.75,1,005900,21,111,94.0,40.1,60.0
290,40218,KY,38.19,-85.66,1,011301,21,111,93.4,54.8,51.0
291,40223,KY,38.26,-85.54,16,010406,21,111,96.7,82.2,31.2
292,40245,KY,38.26,-85.46,2,010307,21,111,98.1,93.2,19.1
293,40258,KY,38.14,-85.86,1,012406,21,111,95.7,76.8,37.5
294,40299,KY,38.2,-85.5,1,011601,21,111,97.9,91.7,18.5
295,40324,KY,38.3,-84.6,1,040603,21,209,90.0,78.0,24.8
296,41005,KY,39.0,-84.8,2,070502,21,015,95.7,72.0,32.4
297,41075,KY,39.08,-84.45,1,052301,21,037,93.4,75.4,29.9
298,42088,KY,36.6,-88.8,1,020500,21,083,90.4,57.7,47.5
299,42101,KY,37.0,-86.5,1,011200,21,227,95.6,48.2,57.4
300,42141,KY,36.9,-85.9,1,950900,21,009,85.2,60.2,40.2
301,43015,OH,40.3,-83.1,1,010520,39,041,94.2,83.3,20.8
302,43055,OH,40.1,-82.4,1,751900,39,089,88.6,58.4,39.9
303,43065,OH,40.17,-83.1,1,011900,39,041,98.2,91.7,15.6
304,43082,OH,40.16,-82.87,1,011750,39,041,97.8,92.2,12.6
305,43085,OH,40.1,-83.01,1,006722,39,049,93.5,84.3,25.9
306,43112,OH,39.8,-82.72,1,030800,39,045,96.7,85.8,22.8
307,43235,OH,40.1,-83.06,1,006387,39,049,89.4,76.5,23.5
308,43571,OH,41.51,-83.81,1,008901,39,095,97.9,83.2,26.6
309,44047,OH,41.7,-80.7,1,001302,39,007,89.6,58.2,50.1
310,44107,OH,41.48,-81.8,1,161300,39,035,95.5,69.6,34.8
311,44120,OH,41.47,-81.58,1,119900,39,035,86.0,46.5,62.5
312,44133,OH,41.31,-81.74,1,175201,39,035,94.4,85.8,22.0
313,44139,OH,41.39,-81.44,1,184104,39,035,95.9,81.2,30.2
314,44140,OH,41.49,-81.92,2,130105,39,035,97.2,85.3,22.5
315,44223,OH,41.17,-81.53,1,532902,39,153,95.1,75.1,31.2
316,44236,OH,41.25,-81.46,1,534000,39,153,98.9,92.5,22.0
317,44312,OH,41.01,-81.44,1,531102,39,153,94.2,70.6,39.8
318,44514,OH,41.01,-80.61,1,811002,39,099,98.6,85.2,25.5
319,44691,OH,40.8,-82.0,1,002000,39,169,96.0,85.6,25.3
320,44705,OH,40.83,-81.34,1,700200,39,151,87.6,52.7,43.7
321,44805,OH,40.9,-82.3,1,970400,39,005,90.2,63.2,45.2
322,45015,OH,39.36,-84.54,1,010906,39,017,83.6,61.9,28.4
323,45040,OH,39.35,-84.3,3,031902,39,165,95.9,87.6,19.4
324,45140,OH,39.26,-84.24,1,040302,39,025,95.8,84.7,22.5
325,45209,OH,39.15,-84.43,1,005301,39,061,96.8,81.6,20.7
326,45214,OH,39.12,-84.55,1,009200,39,061,82.3,20.3,68.2
327,45215,OH,39.24,-84.46,1,022700,39,061,90.9,38.5,66.8
328,45331,OH,40.1,-84.6,4,550100,39,037,96.0,73.5,40.3
329,45338,OH,39.84,-84.57,1,420100,39,135,96.1,74.1,36.9
330,45385,OH,39.7,-83.9,1,240600,39,057,92.3,56.7,45.5
331,45414,OH,39.83,-84.21,1,080500,39,113,88.9,41.5,53.3
332,45424,OH,39.84,-84.11,1,100400,39,113,92.7,75.1,31.7
333,45440,OH,39.67,-84.1,1,220100,39,057,96.8,92.5,14.9
334,45710,OH,39.2,-82.2,1,964300,39,105,91.6,62.3,45.7
335,46123,IN,39.76,-86.39,1,210606,18,063,88.0,73.2,23.0
336,46148,IN,39.82,-85.52,1,976700,18,065,91.8,70.6,31.8
337,46205,IN,39.82,-86.12,1,350500,18,097,68.9,27.6,52.8
338,46219,IN,39.78,-86.05,1,360700,18,097,92.5,67.8,35.2
339,46234,IN,39.81,-86.32,1,340114,18,097,91.4,81.5,19.4
340,46237,IN,39.68,-86.09,1,380902,18,097,96.4,88.3,21.8
341,46250,IN,39.91,-86.07,1,320304,18,097,97.3,90.0,19.8
342,46260,IN,39.9,-86.18,1,320109,18,097,93.3,72.4,37.9
343,46554,IN,41.6,-86.4,1,012000,18,141,95.7,75.4,34.8
344,46637,IN,41.73,-86.24,1,011302,18,141,93.8,80.1,29.6
345,46804,IN,41.05,-85.24,1,011603,18,003,97.2,89.3,23.1
346,47150,IN,38.3,-85.8,1,070302,18,043,91.9,70.9,31.4
347,47203,IN,39.2,-85.8,1,011300,18,005,91.4,79.5,30.0
348,47265,IN,39.0,-85.6,1,960200,18,079,87.6,66.4,33.6
349,47404,IN,39.2,-86.6,1,001305,18,105,95.5,81.1,24.6
350,47710,IN,38.02,-87.58,2,003900,18,163,94.0,75.9,32.3
351,47712,IN,37.9,-87.7,1,010403,18,163,97.3,88.7,21.0
352,47906,IN,40.5,-87.0,3,010201,18,157,93.3,76.5,26.2
353,48069,MI,42.47,-83.14,1,187000,26,125,97.2,92.9,18.1
354,48096,MI,42.76,-82.92,1,216000,26,099,94.7,81.3,31.5
355,48103,MI,42.3,-83.9,2,448000,26,161,95.0,87.2,18.2
356,48105,MI,42.3,-83.7,1,402600,26,161,98.8,93.0,13.5
357,48137,MI,42.5,-84.1,4,732100,26,093,90.2,76.4,33.1
358,48152,MI,42.42,-83.37,2,556800,26,163,95.9,88.6,25.4
359,48158,MI,42.2,-84.0,1,432000,26,161,94.3,87.4,24.9
360,48169,MI,42.5,-83.9,1,743400,26,093,99.0,94.3,20.7
361,48301,MI,42.54,-83.28,1,150900,26,125,97.0,91.0,27.8
362,48307,MI,42.66,-83.12,1,193400,26,125,97.8,89.8,16.5
363,48322,MI,42.54,-83.38,1,157800,26,125,96.1,86.2,34.2
