,ZIP,State,Lat,Lng,Size,Tract,State_code,County,Percent Estimate!!RACE!!Total population!!One race!!White,Percent Estimate!!RACE!!Total population!!One race!!Black or African American,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!Asian,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Asian Indian,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Chinese,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Filipino,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Japanese,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Korean,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Vietnamese,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Other Asian,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander
22,67401,KS,38.9,-97.6,1,001100,20,169,91.1,2.2,0.9,0.6,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,72701,AR,36.0,-94.1,1,011102,05,143,87.7,5.7,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,73034,OK,35.72,-97.43,1,108106,40,109,87.4,2.3,1.0,0.0,0.0,0.0,0.0,3.6,2.0,0.2,0.0,0.0,0.5,0.9,0.0,0.0,,0.0,0.0,0.0
25,75182,TX,32.79,-96.56,1,018104,48,113,76.2,5.9,0.9,0.0,0.0,0.0,0.0,14.4,11.5,0.4,1.7,0.1,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0
26,75862,TX,31.0,-95.4,1,950300,48,455,97.1,0.5,0.0,0.0,0.0,,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,76013,TX,32.72,-97.16,2,111506,48,439,76.8,15.6,1.4,0.1,0.0,0.0,0.0,2.8,0.7,1.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,77084,TX,29.83,-95.66,1,541700,48,201,55.6,30.4,0.4,0.0,,0.0,0.0,7.7,1.0,2.2,2.7,0.0,0.2,0.8,0.8,0.0,0.0,0.0,0.0,0.0
29,78070,TX,29.9,-98.4,1,310605,48,091,93.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,78239,TX,29.52,-98.36,1,121507,48,029,66.5,18.6,1.2,1.0,0.0,0.0,0.0,1.4,0.0,0.0,0.9,0.3,0.2,0.0,0.0,0.3,0.3,0.0,0.0,0.0
31,78247,TX,29.57,-98.41,1,121112,48,029,81.8,8.7,0.0,0.0,0.0,0.0,0.0,4.6,3.6,0.0,0.0,0.4,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,78516,TX,26.18,-98.12,1,022003,48,215,94.4,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
33,78723,TX,30.3,-97.69,1,000306,48,453,75.3,10.7,0.0,0.0,0.0,0.0,0.0,8.8,1.6,5.0,0.2,0.0,0.6,0.4,1.0,0.0,0.0,0.0,0.0,0.0
34,78746,TX,30.3,-97.81,3,001918,48,453,93.9,0.0,0.3,0.0,0.0,0.0,0.0,2.6,0.0,1.7,0.0,0.4,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
35,78748,TX,30.16,-97.82,2,002421,48,453,80.9,7.1,0.0,0.0,0.0,0.0,0.0,4.8,1.2,1.3,1.5,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0
36,78759,TX,30.4,-97.75,1,001722,48,453,80.2,6.4,0.0,0.0,0.0,0.0,0.0,9.3,4.0,0.8,1.3,2.2,0.9,,0.0,0.0,0.0,0.0,0.0,0.0
37,78881,TX,29.3,-99.6,1,950200,48,463,87.1,0.0,3.5,0.1,0.0,0.0,0.0,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,79087,TX,36.3,-102.9,1,950100,48,111,93.4,0.0,1.6,0.2,,0.0,0.1,1.7,0.6,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,80002,CO,39.79,-105.1,3,010402,08,059,85.9,0.7,3.8,0.2,0.0,0.0,3.4,0.6,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
40,80003,CO,39.83,-105.06,4,010209,08,059,90.9,1.8,1.1,0.0,0.0,,0.0,4.0,0.6,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,80005,CO,39.85,-105.12,3,009815,08,059,96.3,0.0,0.2,0.0,0.0,0.0,0.0,3.0,0.6,1.4,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0
42,80007,CO,39.87,-105.22,3,060500,08,059,86.7,0.4,0.5,0.0,0.0,0.0,0.0,7.8,2.9,0.6,0.2,1.1,0.9,0.8,1.4,0.0,,0.0,0.0,0.0
43,80012,CO,39.7,-104.84,2,080800,08,005,48.3,15.1,1.4,0.0,,0.0,0.0,1.6,0.0,0.3,0.7,0.0,0.1,0.2,0.3,0.0,0.0,0.0,0.0,0.0
44,80013,CO,39.66,-104.77,1,083400,08,005,68.5,14.4,0.4,0.0,0.0,0.4,0.0,7.8,2.8,0.7,1.3,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0
45,80016,CO,39.6,-104.74,3,085200,08,005,82.9,3.1,0.0,0.0,0.0,0.0,0.0,7.5,2.4,0.2,0.0,0.3,3.2,0.0,1.4,0.0,0.0,0.0,,0.0
