,_1,_2,_3,_4,_5,_6,_7,_8
121,19075,PA,40.12,-75.19,1,210100,42,091
122,19143,PA,39.94,-75.22,1,007400,42,101
123,19446,PA,40.23,-75.29,1,201004,42,091
124,19803,DE,39.8,-75.53,1,011400,10,003
125,19958,DE,38.7,-75.2,2,051005,10,005
126,20002,DC,38.91,-76.98,3,008804,11,001
127,20003,DC,38.88,-76.99,3,007100,11,001
128,20003,FL,38.88,-76.99,4,007100,11,001
129,20011,DC,38.95,-77.02,1,002201,11,001
130,20016,DC,38.94,-77.09,1,000901,11,001
131,20170,VA,38.98,-77.38,2,480801,51,059
132,20186,VA,38.7,-77.8,1,930302,51,061
133,20187,VA,38.7,-77.7,2,930403,51,061
134,20607,MD,38.66,-77.01,1,801310,24,033
135,20815,MD,38.98,-77.08,2,705400,24,031
136,20817,MD,39.0,-77.16,6,706013,24,031
137,20850,MD,39.09,-77.19,2,701006,24,031
138,20854,MD,39.0,-77.2,2,706009,24,031
139,20855,MD,39.14,-77.13,1,701307,24,031
140,20902,MD,39.04,-77.04,1,703209,24,031
141,20904,MD,39.07,-76.98,2,701415,24,031
142,21014,MD,39.54,-76.35,4,303803,24,025
143,21015,MD,39.6,-76.3,1,303101,24,025
144,21045,MD,39.21,-76.83,3,606604,24,027
145,21046,MD,39.17,-76.84,1,606707,24,027
146,21048,MD,39.49,-76.91,1,504201,24,013
147,21093,MD,39.44,-76.64,1,408703,24,005
148,21114,MD,39.01,-76.68,1,702206,24,003
149,21120,MD,39.6,-76.7,1,407001,24,005
150,21229,MD,39.28,-76.69,1,250102,24,510
151,21230,MD,39.26,-76.62,1,230300,24,510
152,21409,MD,39.02,-76.45,1,730902,24,003
153,21601,MD,38.8,-76.0,2,960100,24,041
154,21702,MD,39.5,-77.5,1,770700,24,021
155,21704,MD,39.34,-77.38,1,752204,24,021
156,21740,MD,39.6,-77.7,1,011100,24,043
157,21773,MD,39.54,-77.56,1,752802,24,021
158,21921,MD,39.6,-75.9,2,030903,24,015
159,22043,VA,38.9,-77.19,2,471000,51,059
160,22101,VA,38.94,-77.16,6,470400,51,059
161,22124,VA,38.89,-77.33,4,481600,51,059
162,22151,VA,38.8,-77.21,6,430500,51,059
163,22153,VA,38.74,-77.23,10,432600,51,059
164,22180,VA,38.9,-77.25,1,460800,51,059
165,22201,VA,38.89,-77.1,4,101500,51,013
166,22304,VA,38.81,-77.13,1,200405,51,510
167,22305,VA,38.84,-77.06,1,201203,51,510
168,22308,VA,38.75,-77.06,1,415500,51,059
169,22315,VA,38.75,-77.15,1,421103,51,059
170,22485,VA,38.3,-77.2,1,040300,51,099
171,22553,VA,38.3,-77.6,1,020106,51,177
172,22655,VA,39.06,-78.23,1,050801,51,069
173,22901,AZ,38.1,-78.6,1,010100,51,003
174,22923,VA,38.2,-78.3,1,110300,51,137
175,22980,VA,38.1,-78.9,1,070600,51,015
176,23059,VA,37.7,-77.5,1,200406,51,087
177,23060,VA,37.66,-77.53,1,200413,51,087
178,23112,VA,37.44,-77.68,1,100912,51,041
179,23185,VA,37.2,-76.7,1,860100,51,181
180,23225,VA,37.52,-77.5,5,071100,51,760
181,23235,VA,37.54,-77.57,1,070100,51,760
182,23322,VA,36.6,-76.3,2,021200,51,550
183,23451,VA,36.86,-76.03,1,044402,51,810
184,23505,VA,36.93,-76.29,1,000902,51,710
185,23507,VA,36.87,-76.31,1,003800,51,710
186,24012,VA,37.32,-79.9,1,031202,51,161
187,24401,VA,38.1,-79.1,1,070900,51,015
188,24459,VA,38.0,-79.3,1,071000,51,015
189,24502,VA,37.36,-79.21,2,001600,51,680
190,24874,WV,37.6,-81.5,1,003100,54,109
191,26062,WV,40.42,-80.57,1,020700,54,029
192,26105,WV,39.33,-81.51,1,010102,54,107
193,26508,WV,39.6,-79.9,1,011803,54,061
194,27012,NC,36.01,-80.37,1,004015,37,067
195,27104,NC,36.1,-80.32,1,003906,37,067
196,27455,NC,36.18,-79.82,1,015600,37,081
197,27502,NC,35.7,-78.9,1,053413,37,183
198,27513,NC,35.8,-78.8,4,053522,37,183
199,27516,NC,35.9,-79.2,2,011203,37,135
200,27519,NC,35.81,-78.89,1,053411,37,183
201,27539,NC,35.7,-78.8,1,053421,37,183
202,27703,NC,35.94,-78.8,1,001808,37,063
203,27858,NC,35.5,-77.3,1,001100,37,147
204,28027,NC,35.4,-80.7,1,041303,37,025
205,28031,NC,35.47,-80.89,3,006208,37,119
206,28036,NC,35.48,-80.8,3,006404,37,119
207,28056,NC,35.2,-81.1,1,033307,37,071
208,28078,NC,35.4,-80.9,1,006214,37,119
209,28104,NC,35.1,-80.7,1,005835,37,119
210,28117,NC,35.57,-80.89,2,061405,37,097
211,28203,NC,35.21,-80.86,4,003400,37,119
212,28226,NC,35.11,-80.83,1,003008,37,119
213,28278,NC,35.1,-81.0,2,005910,37,119
214,28692,NC,36.3,-81.8,1,920200,37,189
215,28704,NC,35.46,-82.57,1,002301,37,021
216,28705,NC,36.0,-82.2,1,950200,37,121
217,28714,NC,35.9,-82.3,1,960300,37,199
218,28779,NC,35.3,-83.2,1,950600,37,099
219,28787,NC,35.7,-82.5,1,002703,37,021
220,28805,NC,35.62,-82.49,2,003001,37,021
221,29401,SC,32.78,-79.93,1,005100,45,019
222,29464,SC,32.82,-79.86,1,004606,45,019
223,29576,SC,33.56,-79.08,1,920502,45,043
224,29607,SC,34.84,-82.38,1,004300,45,045
225,29617,SC,34.91,-82.47,2,003701,45,045
226,29651,SC,34.9,-82.2,2,023202,45,083
227,29681,SC,34.76,-82.22,2,003009,45,045
228,29902,SC,32.38,-80.7,2,000800,45,013
229,30067,GA,33.93,-84.46,2,030320,13,067
230,30124,GA,34.14,-85.35,1,002000,13,115
231,30145,GA,34.2,-85.0,1,961000,13,015
232,30284,GA,33.41,-84.3,1,070501,13,151
233,30309,GA,33.8,-84.39,1,000500,13,121
234,30319,GA,33.86,-84.35,2,010002,13,121
235,30328,GA,33.93,-84.4,1,010205,13,121
236,30736,GA,34.9,-85.1,1,030100,13,047
237,31220,GA,32.88,-83.81,1,013605,13,021
238,31324,GA,31.9,-81.3,1,920306,13,029
239,32082,FL,30.1,-81.4,1,020602,12,109
240,32259,FL,30.1,-81.6,1,020805,12,109
241,32401,FL,30.16,-85.67,1,002200,12,005
242,32536,FL,30.7,-86.7,1,020100,12,091
243,32708,FL,28.68,-81.27,1,021403,12,117
244,32746,FL,28.76,-81.36,1,020805,12,117
245,32836,FL,28.41,-81.52,1,017108,12,095
246,32952,FL,28.3,-80.7,1,062800,12,009
247,33186,FL,25.66,-80.41,1,018900,12,086
248,33311,FL,26.13,-80.16,1,041500,12,011
249,33328,FL,26.07,-80.27,1,070209,12,011
250,33527,FL,27.97,-82.22,1,012402,12,057
251,33538,FL,28.8,-82.2,1,451000,12,017
252,33556,FL,28.2,-82.6,2,031701,12,101
253,33702,FL,27.85,-82.63,4,024411,12,103
254,33921,FL,26.83,-82.28,1,030402,12,015
255,33922,FL,26.66,-82.14,1,070101,12,071
256,34102,FL,26.13,-81.8,1,000101,12,021
257,34110,FL,26.3,-81.79,1,010102,12,021
258,34134,FL,26.36,-81.85,1,060300,12,071
259,34223,FL,26.98,-82.37,1,002603,12,115
260,34470,FL,29.2,-82.09,2,002002,12,083
261,34480,FL,29.1,-82.1,1,002402,12,083
262,34639,FL,28.3,-82.4,1,032001,12,101
263,34655,FL,28.23,-82.63,1,031707,12,101
264,34711,FL,28.5,-81.8,1,031311,12,069
265,34758,FL,28.2,-81.5,1,041100,12,097
266,34786,FL,28.48,-81.56,1,017105,12,095
267,34787,FL,28.5,-81.6,2,017105,12,095
268,34949,FL,27.5,-80.31,2,381204,12,111
269,34996,FL,27.2,-80.19,1,000502,12,085
270,34997,FL,27.1,-80.3,1,001700,12,085
271,36527,AL,30.7,-87.9,1,010701,01,003
272,36559,AL,30.572,-87.897,2,010800,01,003
273,37069,TN,35.99,-86.91,2,050406,47,187
274,37122,TN,36.2,-86.5,4,030309,47,189
